Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\LiPoBattery\Project Outputs for LiPoBattery\Pick Place for LiPoBattery.csv

========================================================================================================================
File Design Information:

Date:       15/06/22
Time:       00:29
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R3","PROG","TopLayer","VISH-A1-2_V2","2600.000","1850.000","180","Power Metal Film Leaded Resistor, 62 KOhm +/-5%, 2 W, 2-Pin THD, RoHS, Ammo Pack62 kOhms ±5% 2W Through Hole Resistor Axial Automotive AEC-Q200, Flame Retardant Coating, Safety Metal Film"
"U1","Charge Management Controller","TopLayer","SOT-23-OT5_M","2050.000","2000.000","90","Simple, Miniature Single-Cell, Fully Integrated Li-Ion/Li-Polymer Charge Management Controller, 4.2V, 5-Pin SOT-23, Industrial Temperature, Cut Tape"
"SJ1","SJUMPER3POS","TopLayer","SJUMPER3POS-Footprint-1","2010.000","2735.000","180","Solder jumper 3 pads and pins"
"R4","330","TopLayer","RESC2013X50X30NL20T20","2250.000","2000.000","270","330 Ohms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200 Thick Film"
"R2","10k","TopLayer","RESC2013X70X40ML20T20","2250.000","2750.000","180","10 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200 Thick Film"
"R1","2k","TopLayer","RESC2013X70X40ML20T20","2250.000","2550.000","180","2 kOhms ±5% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200 Thick Film"
"MHNP4","Mounting Hole Non-Plated 3.2mm","TopLayer","MTHNP3P2MM","2900.000","1100.000","90","Mounting Hole Non-Plated 3.2 mm drill hole"
"MHNP3","Mounting Hole Non-Plated 3.2mm","TopLayer","MTHNP3P2MM","2900.000","2900.000","90","Mounting Hole Non-Plated 3.2 mm drill hole"
"MHNP2","Mounting Hole Non-Plated 3.2mm","TopLayer","MTHNP3P2MM","1100.000","2900.000","90","Mounting Hole Non-Plated 3.2 mm drill hole"
"MHNP1","Mounting Hole Non-Plated 3.2mm","TopLayer","MTHNP3P2MM","1100.000","1100.000","90","Mounting Hole Non-Plated 3.2 mm drill hole"
"LED2","RED","TopLayer","VISH-TLMS1000_V","2471.457","2900.000","180","Low Current LED, 40 mW, 1.8 V, -40 to 100 degC, 2-Pin SMD (0603), RoHS, Tape and Reel"
"LED1","RED","TopLayer","VISH-TLMS1000_V","2471.457","2800.000","180","Low Current LED, 40 mW, 1.8 V, -40 to 100 degC, 2-Pin SMD (0603), RoHS, Tape and Reel"
"J6","CONN PWR JACK 2.1X5.5MM SOLDER","TopLayer","FP-RASM722PTR13X-MFG","2613.386","2358.465","90","Power Barrel Connector Jack 2.10mm ID (0.083"), 5.50mm OD (0.217") Surface Mount, Right Angle"
"J5","2 POS VERT HEADER 0.100"","TopLayer","2Pins_AMP","1950.000","1550.000","180","Connector Header Through Hole 2 position"
"J4","47346-0001","TopLayer","MOLX-47346-0001-5_V","2855.512","1500.000","90","Micro-USB B Receptacle with Flange, -30 to 85 degC, 5-Pin SMD, RoHS, Tape and Reel"
"J3","2 POS VERT HEADER 0.100"","TopLayer","2Pins_AMP","1950.000","2450.000","180","Connector Header Through Hole 2 position"
"J2","CONN HEADER R/A 2POS 5.08MM","TopLayer","1-179276-2","1650.000","2450.000","270","Connector Header Through Hole, Right Angle 2 position 0.200" (5.08mm)"
"J1","CONN HEADER R/A 2POS 5.08MM","TopLayer","1-179276-2","1650.000","1550.000","270","Connector Header Through Hole, Right Angle 2 position 0.200" (5.08mm)"
"D2","40V, 1A","TopLayer","ONSC-SMA-2-403D-02_V","2600.000","1600.000","0","Schottky Power Rectifier, 2-Pin SMA, Pb-Free, Cut Tape, Diode Schottky 40V 1A Surface Mount SMA"
"D1","40V, 1A","TopLayer","ONSC-SMA-2-403D-02_V","2600.000","1400.000","0","Schottky Power Rectifier, 2-Pin SMA, Pb-Free, Cut Tape, Diode Schottky 40V 1A Surface Mount SMA"
"C2","4.7uF","TopLayer","FP-CC0805-0_85-MFG","2350.000","1513.583","270","4.7µF ±10% 6.3V Ceramic Capacitor X7R 0805 (2012 Metric)"
"C1","4.7uF","TopLayer","FP-CC0805-0_85-MFG","2200.000","1513.583","270","4.7µF ±10% 6.3V Ceramic Capacitor X7R 0805 (2012 Metric)"
